idx,SPLINE_X,SPLINE_Y,SENSOR_TIMESTAMP,SENSOR_PRESSURE,SENSOR_ALTITUDE,SENSOR_AZIMUTH
0,277.1012268066406,183.11183166503906,1722443386312.649,0.07,0.6,0.72
0,277.1012268066406,183.1713409423828,1722443386312.653,0.11000000000000001,0.6,0.72
0,277.1012268066406,183.31051635742188,1722443386312.657,0.12000000000000001,0.6,0.72
0,277.1012268066406,183.49021911621094,1722443386312.667,0.12000000000000001,0.6,0.72
0,277.1012268066406,183.62208557128906,1722443386312.667,0.13,0.6,0.72
0,277.1012268066406,183.6720733642578,1722443386312.669,0.13,0.6,0.72
0,277.1012268066406,183.66282653808594,1722443386312.673,0.14,0.6,0.72
0,277.1012268066406,183.64060974121094,1722443386312.677,0.14,0.6,0.72
0,277.1012268066406,183.6282196044922,1722443386312.68,0.15000000000000002,0.6,0.72
0,277.1012268066406,183.6265869140625,1722443386312.685,0.15000000000000002,0.6,0.72
0,277.1012268066406,183.62832641601562,1722443386312.689,0.16000000000000003,0.6,0.72
0,277.1012268066406,183.62954711914062,1722443386312.693,0.16000000000000003,0.6,0.72
0,277.1012268066406,183.6297607421875,1722443386312.699,0.16000000000000003,0.6,0.72
0,277.14111328125,183.60943603515625,1722443386312.702,0.17000000000000004,0.6,0.72
0,277.2444763183594,183.56204223632812,1722443386312.707,0.17000000000000004,0.6,0.72
0,277.3885498046875,183.50094604492188,1722443386312.71,0.17000000000000004,0.6,0.72
0,277.5175476074219,183.4561004638672,1722443386312.715,0.17000000000000004,0.6,0.72
0,277.60662841796875,183.43911743164062,1722443386312.719,0.18000000000000005,0.59,0.73
0,277.671875,183.4422607421875,1722443386312.723,0.18000000000000005,0.59,0.73
0,277.7302551269531,183.44981384277344,1722443386312.727,0.18000000000000005,0.59,0.73
0,277.7783203125,183.46414184570312,1722443386312.73,0.19000000000000006,0.59,0.73
0,277.8140869140625,183.49847412109375,1722443386312.735,0.20000000000000007,0.59,0.73
0,277.84185791015625,183.55209350585938,1722443386312.738,0.21000000000000008,0.59,0.73
0,277.8663024902344,183.60464477539062,1722443386312.743,0.22000000000000008,0.59,0.73
0,277.8830261230469,183.64500427246094,1722443386312.746,0.2300000000000001,0.59,0.73
0,277.8894348144531,183.67422485351562,1722443386312.753,0.2500000000000001,0.59,0.73
0,277.88800048828125,183.69764709472656,1722443386312.757,0.2600000000000001,0.59,0.73
0,277.8942565917969,183.71287536621094,1722443386312.762,0.28000000000000014,0.59,0.73
0,277.9146423339844,183.71849060058594,1722443386312.765,0.29000000000000015,0.59,0.73
0,277.9532470703125,183.72714233398438,1722443386312.769,0.30000000000000016,0.59,0.73
0,278.0083923339844,183.7477569580078,1722443386312.773,0.31000000000000016,0.59,0.73
0,278.0809020996094,183.7765655517578,1722443386312.777,0.3200000000000002,0.59,0.73
0,278.17572021484375,183.7987518310547,1722443386312.78,0.3200000000000002,0.59,0.73
0,278.2991943359375,183.8074951171875,1722443386312.785,0.3300000000000002,0.59,0.73
0,278.4519958496094,183.8061065673828,1722443386312.789,0.3300000000000002,0.59,0.73
0,278.6246643066406,183.80235290527344,1722443386312.793,0.3400000000000002,0.59,0.73
0,278.81427001953125,183.80023193359375,1722443386312.797,0.3400000000000002,0.59,0.73
0,279.0252380371094,183.79995727539062,1722443386312.803,0.3400000000000002,0.59,0.73
0,279.2726135253906,183.8002471923828,1722443386312.807,0.3500000000000002,0.59,0.73
